Lista de Productos,Precios,Descuento,Marca,Supermercado,Image URL
Aceite Vegetal PRIMOR Premium Botella 900ml,S/ 11.50,, PRIMOR ,Plaza Vea,https://plazavea.vteximg.com.br/arquivos/ids/20372490-220-220/20281564.jpg?v=638023231386830000
Galletas de Soda SAN JORGE Paquete 7un,S/ 11.50,, SAN JORGE ,Plaza Vea,https://plazavea.vteximg.com.br/arquivos/ids/25835356-220-220/502139.jpg?v=638132704405000000
Azúcar Rubia BELL'S Bolsa 4kg,S/ 11.50,, BELL'S ,Plaza Vea,https://plazavea.vteximg.com.br/arquivos/ids/20330646-220-220/20283297.jpg?v=638022583011100000
Filete de Atún PRIMOR en Aceite Vegetal Lata 140g,S/ 3.20,, PRIMOR ,Plaza Vea,https://plazavea.vteximg.com.br/arquivos/ids/19913605-220-220/20314529.jpg?v=638016540225400000
Galletas Soda FIELD Bolsa 6un,S/ 3.20,, FIELD ,Plaza Vea,https://plazavea.vteximg.com.br/arquivos/ids/16382626-220-220/20282832.jpg?v=637970179203600000
Aceite de Soya SAO Botella 900ml,S/ 3.20,, SAO ,Plaza Vea,https://plazavea.vteximg.com.br/arquivos/ids/16382489-220-220/20281565.jpg?v=637970176298900000
Aceite Vegetal PRIMOR Clásico Botella 900ml,S/ 16.70,, PRIMOR ,Plaza Vea,https://plazavea.vteximg.com.br/arquivos/ids/16382487-220-220/20281566.jpg?v=637970176237330000
Fideo Spaghetti DON VITTORIO Bolsa 950g,S/ 16.70,, DON VITTORIO ,Plaza Vea,https://plazavea.vteximg.com.br/arquivos/ids/10051149-220-220/20277768.jpg?v=637859400617670000
Filete de Atún BELL'S en Aceite Paquete 6un,S/ 16.70,, BELL'S ,Plaza Vea,https://plazavea.vteximg.com.br/arquivos/ids/10256380-220-220/20145956.jpg?v=637862427212970000
Arroz Extra Añejo FARAON Naranja Bolsa 5kg,S/ 5.90,, FARAON ,Plaza Vea,https://plazavea.vteximg.com.br/arquivos/ids/21216691-220-220/20139617.jpg?v=638034912871130000
Galleta Vainilla FIELD Paquete 6un,S/ 5.90,, NABISCO ,Plaza Vea,https://plazavea.vteximg.com.br/arquivos/ids/3641055-220-220/243940.jpg?v=637739725266670000
Arroz Extra COSTEÑO Bolsa 5Kg,S/ 5.90,, COSTEÑO ,Plaza Vea,https://plazavea.vteximg.com.br/arquivos/ids/554165-220-220/641425.jpg?v=637426577652870000
Aceite Vegetal BELL'S Botella 900ml,S/ 3.10,, BELL'S ,Plaza Vea,https://plazavea.vteximg.com.br/arquivos/ids/5002511-220-220/959308.jpg?v=637768218568500000
Pack Papas LAYS Clásicas Bolsa 150g + Piqueo SNAX Bolsa 200g,S/ 3.10,, LAY'S ,Plaza Vea,https://plazavea.vteximg.com.br/arquivos/ids/26451807-220-220/20355477.jpg?v=638207714552400000
Mayonesa ALACENA Doypack 850g,S/ 3.10,, ALACENA ,Plaza Vea,https://plazavea.vteximg.com.br/arquivos/ids/19529889-220-220/20314552.jpg?v=638011376057500000
Filete de Atún BELL'S en Agua Paquete 6un,S/ 8.30,, BELL'S ,Plaza Vea,https://plazavea.vteximg.com.br/arquivos/ids/10256381-220-220/20145953.jpg?v=637862427243130000
Lentejas BELL'S Bolsa 500g,S/ 8.30,, BELL'S ,Plaza Vea,https://plazavea.vteximg.com.br/arquivos/ids/2344142-220-220/20220362.jpg?v=637662971812000000
Lenteja Bebé BELL'S Bolsa 500g,S/ 8.30,, BELL'S ,Plaza Vea,https://plazavea.vteximg.com.br/arquivos/ids/2326803-220-220/20220358.jpg?v=637660568038330000
Arverja Partida BELL'S Bolsa 500g,S/ 10.10,, BELL'S ,Plaza Vea,https://plazavea.vteximg.com.br/arquivos/ids/2326799-220-220/20220365.jpg?v=637660566867230000
Azúcar Rubia CARTAVIO Bolsa 5Kg,S/ 10.10,, CARTAVIO ,Plaza Vea,https://plazavea.vteximg.com.br/arquivos/ids/561637-220-220/20184801.jpg?v=637427438609070000
